index,node,mc_el,mc_heat,g_max,h_max,eta,plant_type,heatarea,storage_capacity
p54,n5662,46.64070892568607,0.0,119.0,155.0,0.3974999999999999,conventional,,
p55,n5739,51.478844326104536,0.0,127.0,0.0,0.3449999999999997,conventional,,
p56,n5739,48.77449826815253,0.0,300.0,39.0,0.3724999999999996,conventional,,
p57,n8060,51.21530765989465,0.0,350.0,26.0,0.3475000000000001,conventional,,
p58,n4663,47.461185343821526,0.0,95.0,139.0,0.3875000000000002,conventional,,
p59,n4585,46.84193336367818,0.0,370.0,295.0,0.3949999999999996,conventional,,
p60,n4585,42.47107466958775,0.0,725.0,0.0,0.4574999999999996,conventional,,
p61,n4845,44.40958884128256,0.0,283.0,60.0,0.4275000000000002,conventional,,
p62,n4845,52.85597201795299,0.0,106.0,66.0,0.3324999999999996,conventional,,
p63,n4765,48.548316597851056,0.0,17.4,0.0,0.375,conventional,,
p64,n5695,46.051941125635125,0.0,27.0,0.0,0.4050000000000002,conventional,,
p65,n5695,46.84193336367818,0.0,29.0,0.0,0.3949999999999996,conventional,,
p66,n5695,47.461185343821526,0.0,33.0,0.0,0.3875000000000002,conventional,,
p67,n4782,46.64070892568607,0.0,61.5,0.0,0.3974999999999999,conventional,,
p68,n4782,46.64070892568607,0.0,61.5,0.0,0.3974999999999999,conventional,,
p69,n4667,51.21530765989465,0.0,345.0,0.0,0.3475000000000001,conventional,,
p70,n4667,51.478844326104536,0.0,345.0,0.0,0.3449999999999997,conventional,,
p71,n4667,47.461185343821526,0.0,70.0,0.0,0.3875000000000002,conventional,,
p72,n4734,46.051941125635125,0.0,510.0,300.0,0.4050000000000002,conventional,,
p73,n5697,45.86050128880879,0.0,194.0,785.0,0.4074999999999997,conventional,,
p74,n5697,42.17243870259688,0.0,800.0,120.0,0.4625000000000003,conventional,,
p75,n5697,42.17243870259688,0.0,800.0,120.0,0.4625000000000003,conventional,,
p76,n4693,42.320945175312445,0.0,765.0,0.0,0.4599999999999999,conventional,,
p77,n4693,42.320945175312445,0.0,764.0,0.0,0.4599999999999999,conventional,,
p78,n4756,46.64070892568607,0.0,136.0,0.0,0.3974999999999999,conventional,,
p79,n4756,46.64070892568607,0.0,136.0,0.0,0.3974999999999999,conventional,,
p80,n4713,52.29287980617488,0.0,125.0,28.0,0.3375000000000003,conventional,,
p81,n4713,52.01754427615113,0.0,125.0,28.0,0.3399999999999998,conventional,,
p82,n4713,47.461185343821526,0.0,778.0,550.0,0.3875000000000002,conventional,,
p83,n4676,52.01754427615113,0.0,280.0,0.0,0.3399999999999998,conventional,,
p84,n4676,46.64070892568607,0.0,449.0,550.0,0.3974999999999999,conventional,,
p85,n4769,48.77449826815253,0.0,690.0,0.0,0.3724999999999996,conventional,,
p86,n4778,47.461185343821526,0.0,794.0,20.0,0.3875000000000002,conventional,,
p87,n4726,46.64070892568607,0.0,66.0,0.0,0.3974999999999999,conventional,,
p88,n4605,45.30002080267855,0.0,13.4,0.0,0.415,conventional,,
p89,n3467,47.461185343821526,0.0,505.0,220.0,0.3875000000000002,conventional,,
p90,n3467,42.320945175312445,0.0,842.0,220.0,0.4599999999999999,conventional,,
p91,n5683,50.95553580320215,0.0,323.0,295.0,0.3499999999999996,conventional,,
p92,n4638,54.651659779922255,0.0,26.0,0.0,0.3174999999999999,conventional,,
p93,n4638,50.69944865369668,0.0,110.0,460.0,0.3525,conventional,,
p94,n4638,53.14391689897579,0.0,103.0,0.0,0.33,conventional,,
p95,n6842,53.14391689897579,0.0,149.0,0.0,0.33,conventional,,
p96,n6842,51.21530765989465,0.0,324.0,0.0,0.3475000000000001,conventional,,
p97,n4647,42.47107466958775,0.0,746.0,35.0,0.4574999999999996,conventional,,
p98,n4720,43.73387818714893,0.0,255.0,0.0,0.4375,conventional,,
p99,n4720,48.10488148107586,0.0,425.0,500.0,0.3799999999999999,conventional,,
p100,n4720,45.86050128880879,0.0,435.0,500.0,0.4074999999999997,conventional,,
p101,n4720,42.17243870259688,0.0,843.0,0.0,0.4625000000000003,conventional,,
p102,n4674,61.224865440708925,0.0,120.0,0.0,0.2724999999999999,conventional,,
p103,n4674,50.69944865369668,0.0,55.3,0.0,0.3525,conventional,,
p104,n4674,52.01754427615113,0.0,60.4,0.0,0.3399999999999998,conventional,,
p105,n4674,47.88751132579388,0.0,60.2,0.0,0.3825000000000003,conventional,,
p106,n7274,46.44199979316885,0.0,54.0,0.0,0.4000000000000003,conventional,,
p107,n4743,47.04572117030708,0.0,875.0,0.0,0.3925,conventional,,
p108,n3505,46.44199979316885,0.0,26.9,0.0,0.4000000000000003,conventional,,
p109,n4583,49.47163355332815,0.0,655.6,30.0,0.3650000000000002,conventional,,
p110,n5542,45.671396084138806,0.0,514.0,150.0,0.4100000000000001,conventional,,
p111,n4583,46.84193336367818,0.0,50.0,0.0,0.3949999999999996,conventional,,
p112,n4855,51.21530765989465,0.0,24.8,0.0,0.3475000000000001,conventional,,
p113,n3507,43.08836689185928,0.0,22.6,0.0,0.4474999999999998,conventional,,
p114,n3507,48.10488148107586,0.0,45.0,0.0,0.3799999999999999,conventional,,
p115,n3507,47.67296415954159,0.0,45.0,0.0,0.3849999999999998,conventional,,
p116,n5673,46.44199979316885,0.0,40.0,0.0,0.4000000000000003,conventional,,
p117,n7783,49.00373644751205,0.0,20.7,0.0,0.3700000000000001,conventional,,
p118,n3314,46.245759097080494,0.0,332.7,550.0,0.4024999999999998,conventional,,
p119,n4584,50.69944865369668,0.0,318.0,0.0,0.3525,conventional,,
p120,n4584,50.69944865369668,0.0,322.0,0.0,0.3525,conventional,,
p121,n4584,48.10488148107586,0.0,695.0,0.0,0.3799999999999999,conventional,,
p122,n4584,47.461185343821526,0.0,695.0,0.0,0.3875000000000002,conventional,,
p123,n7711,48.10488148107586,0.0,179.0,210.0,0.3799999999999999,conventional,,
p124,n7711,46.64070892568607,0.0,211.0,185.0,0.3974999999999999,conventional,,
p125,n7271,52.57232482172148,0.0,96.0,0.0,0.3349999999999999,conventional,,
p126,n7271,51.74622824291593,0.0,148.0,0.0,0.3425000000000002,conventional,,
p127,n7878,53.14391689897579,0.0,123.0,0.0,0.33,conventional,,
p128,n7878,53.43625788505247,0.0,137.0,423.0,0.3274999999999997,conventional,,
p129,n4688,48.10488148107586,0.0,310.0,0.0,0.3799999999999999,conventional,,
p130,n8028,47.67296415954159,0.0,620.0,0.0,0.3849999999999998,conventional,,
p131,n5643,49.47163355332815,0.0,757.0,0.0,0.3650000000000002,conventional,,
p132,n5655,42.17243870259688,0.0,731.0,0.0,0.4625000000000003,conventional,,
p133,n4741,44.58348496550815,0.0,61.5,0.0,0.4249999999999998,conventional,,
p134,n4773,44.58348496550815,0.0,61.5,0.0,0.4249999999999998,conventional,,
p135,n4741,47.461185343821526,0.0,138.5,140.0,0.3875000000000002,conventional,,
p136,n4773,47.461185343821526,0.0,138.5,140.0,0.3875000000000002,conventional,,
p137,n4648,46.64070892568607,0.0,85.0,201.0,0.3974999999999999,conventional,,
p138,n3312,47.25212164112358,0.0,472.0,150.0,0.3899999999999997,conventional,,
p139,n4693,52.85597201795299,0.0,152.0,0.0,0.3324999999999996,conventional,,
p140,n4693,52.85597201795299,0.0,152.0,0.0,0.3324999999999996,conventional,,
p141,n4663,52.29287980617488,0.0,133.0,0.0,0.3375000000000003,conventional,,
p142,n4734,50.95553580320215,0.0,293.0,0.0,0.3499999999999996,conventional,,
p143,n4589,52.29287980617488,0.0,93.0,0.0,0.3375000000000003,conventional,,
p144,n3461,43.08836689185928,0.0,28.0,0.0,0.4474999999999998,conventional,,
p145,n4677,52.57232482172148,0.0,95.0,0.0,0.3349999999999999,conventional,,
p146,n4677,52.57232482172148,0.0,95.0,0.0,0.3349999999999999,conventional,,
p147,n4677,51.21530765989465,0.0,113.0,0.0,0.3475000000000001,conventional,,
p148,n4734,52.29287980617488,0.0,249.0,0.0,0.3375000000000003,conventional,,
p149,n4677,54.651659779922255,0.0,132.0,0.0,0.3174999999999999,conventional,,
p150,n4646,50.69944865369668,0.0,345.0,0.0,0.3525,conventional,,
p151,n4585,54.03453711237209,0.0,129.0,0.0,0.3224999999999998,conventional,,
p152,n4667,50.95553580320215,0.0,345.0,0.0,0.3499999999999996,conventional,,
p153,n4667,50.69944865369668,0.0,345.0,0.0,0.3525,conventional,,
p154,n4667,48.77449826815253,0.0,676.0,0.0,0.3724999999999996,conventional,,
p155,n4676,52.85597201795299,0.0,133.0,0.0,0.3324999999999996,conventional,,
p156,n4688,50.69944865369668,0.0,186.0,0.0,0.3525,conventional,,
p157,n4589,50.95553580320215,0.0,303.0,0.0,0.3499999999999996,conventional,,
p158,n4720,52.01754427615113,0.0,202.5,0.0,0.3399999999999998,conventional,,
p159,n4720,50.95553580320215,0.0,202.5,0.0,0.3499999999999996,conventional,,
p160,n5695,48.10488148107586,0.0,35.0,0.0,0.3799999999999999,conventional,,
p161,n5695,49.00373644751205,0.0,23.0,0.0,0.3700000000000001,conventional,,
p162,n4693,51.21530765989465,0.0,284.0,0.0,0.3475000000000001,conventional,,
p163,n3461,0.0,0.0,79.5,0.0,0.8,hydro_ror,,
p165,n4679,0.0,0.0,15.0,0.0,0.8,hydro_ror,,
p166,n3320,0.0,0.0,40.4,0.0,0.8,hydro_ror,,
p167,n3457,0.0,0.0,36.8,0.0,0.8,hydro_ror,,
p168,n3457,0.0,0.0,360.0,0.0,0.75,hydro_psp,,3600.0
p169,n3311,0.0,0.0,23.7,0.0,0.8,hydro_ror,,
p170,n5662,0.0,0.0,9.9,0.0,0.8,hydro_ror,,
p171,n8046,0.0,0.0,10.3,0.0,0.8,hydro_ror,,
p172,n3318,0.0,0.0,45.0,0.0,0.8,hydro_ror,,
p173,n3480,0.0,0.0,11.0,0.0,0.8,hydro_ror,,
p174,n3319,0.0,0.0,15.0,0.0,0.8,hydro_ror,,
p175,n3461,0.0,0.0,24.0,0.0,0.8,hydro_ror,,
p176,n7998,0.0,0.0,143.0,0.0,0.75,hydro_psp,,1430.0
p177,n7998,0.0,0.0,480.0,0.0,0.75,hydro_psp,,4800.0
p178,n7998,0.0,0.0,20.0,0.0,0.8,hydro_ror,,
p179,n3315,0.0,0.0,26.0,0.0,0.8,hydro_ror,,
p180,n4611,0.0,0.0,16.4,0.0,0.8,hydro_ror,,
p181,n3501,0.0,0.0,9.7,0.0,0.8,hydro_ror,,
p182,n4611,0.0,0.0,18.4,0.0,0.8,hydro_ror,,
p183,n3320,0.0,0.0,36.5,0.0,0.8,hydro_ror,,
p184,n4547,0.0,0.0,17.8,0.0,0.8,hydro_ror,,
p185,n4679,0.0,0.0,138.0,0.0,0.75,hydro_psp,,1380.0
p186,n3464,0.0,0.0,22.0,0.0,0.8,hydro_ror,,
p187,n3464,0.0,0.0,43.0,0.0,0.8,hydro_ror,,
p188,n7823,0.0,0.0,12.1,0.0,0.8,hydro_ror,,
p189,n3318,0.0,0.0,25.0,0.0,0.8,hydro_ror,,
p190,n5685,0.0,0.0,119.1,0.0,0.75,hydro_psp,,1191.0
p191,n4597,0.0,0.0,164.0,0.0,0.75,hydro_psp,,1640.0
p192,n4554,0.0,0.0,1052.0,0.0,0.75,hydro_psp,,10520.0
p193,n4554,0.0,0.0,265.0,0.0,0.75,hydro_psp,,2650.0
p194,n4554,0.0,0.0,265.0,0.0,0.75,hydro_psp,,2650.0
p195,n4554,0.0,0.0,265.0,0.0,0.75,hydro_psp,,2650.0
p196,n7273,0.0,0.0,37.9,0.0,0.8,hydro_ror,,
p197,n3322,0.0,0.0,66.0,0.0,0.8,hydro_ror,,
p198,n4500,0.0,0.0,160.0,0.0,0.75,hydro_psp,,1600.0
p199,n3458,0.0,0.0,100.0,0.0,0.75,hydro_psp,,1000.0
p200,n4627,0.0,0.0,14.0,0.0,0.8,hydro_ror,,
p201,n4627,0.0,0.0,16.0,0.0,0.8,hydro_ror,,
p202,n4690,0.0,0.0,165.0,0.0,0.75,hydro_psp,,1650.0
p203,n3492,0.0,0.0,10.0,0.0,0.8,hydro_ror,,
p204,n4501,0.0,0.0,59.8,0.0,0.8,hydro_ror,,
p205,n4501,0.0,0.0,317.8,0.0,0.75,hydro_psp,,3178.0
p206,n3464,0.0,0.0,146.0,0.0,0.8,hydro_ror,,
p207,n3305,0.0,0.0,19.8,0.0,0.8,hydro_ror,,
p208,n8046,0.0,0.0,16.7,0.0,0.8,hydro_ror,,
p209,n3495,0.0,0.0,50.0,0.0,0.8,hydro_ror,,
p210,n3495,0.0,0.0,14.2,0.0,0.8,hydro_ror,,
p211,n4614,0.0,0.0,16.0,0.0,0.8,hydro_ror,,
p212,n7769,0.0,0.0,124.0,0.0,0.8,hydro_res,,1240.0
p213,n4593,0.0,0.0,220.0,0.0,0.75,hydro_psp,,2200.0
p214,n3461,0.0,0.0,19.0,0.0,0.8,hydro_ror,,
p215,n3492,0.0,0.0,10.1,0.0,0.8,hydro_ror,,
p216,n8046,0.0,0.0,10.1,0.0,0.8,hydro_ror,,
p217,n3490,0.0,0.0,19.2,0.0,0.8,hydro_ror,,
p218,n7704,0.0,0.0,20.0,0.0,0.8,hydro_ror,,
p219,n4559,0.0,0.0,1045.2,0.0,0.75,hydro_psp,,10452.0
p220,n4559,0.0,0.0,175.0,0.0,0.75,hydro_psp,,1750.0
p221,n4559,0.0,0.0,175.0,0.0,0.75,hydro_psp,,1750.0
p222,n4559,0.0,0.0,175.0,0.0,0.75,hydro_psp,,1750.0
p223,n4559,0.0,0.0,175.0,0.0,0.75,hydro_psp,,1750.0
p224,n4559,0.0,0.0,175.0,0.0,0.75,hydro_psp,,1750.0
p225,n3502,0.0,0.0,11.3,0.0,0.8,hydro_ror,,
p226,n3500,0.0,0.0,12.0,0.0,0.8,hydro_ror,,
p227,n3481,0.0,0.0,90.0,0.0,0.8,hydro_ror,,
p228,n3315,0.0,0.0,22.3,0.0,0.8,hydro_ror,,
p229,n4772,0.0,0.0,16.4,0.0,0.8,hydro_ror,,
p230,n4611,0.0,0.0,16.4,0.0,0.8,hydro_ror,,
p231,n3311,0.0,0.0,20.2,0.0,0.8,hydro_ror,,
p232,n3318,0.0,0.0,26.1,0.0,0.8,hydro_ror,,
p233,n3319,0.0,0.0,16.2,0.0,0.8,hydro_ror,,
p234,n3319,0.0,0.0,14.8,0.0,0.8,hydro_ror,,
p235,n4560,0.0,0.0,39.8,0.0,0.8,hydro_ror,,
p236,n3304,0.0,0.0,36.6,0.0,0.8,hydro_ror,,
p237,n3304,0.0,0.0,30.0,0.0,0.8,hydro_ror,,
p238,n3315,0.0,0.0,27.0,0.0,0.8,hydro_ror,,
p239,n3501,0.0,0.0,11.9,0.0,0.8,hydro_ror,,
p240,n3322,0.0,0.0,53.7,0.0,0.8,hydro_ror,,
p241,n3322,0.0,0.0,43.2,0.0,0.8,hydro_ror,,
p242,n3318,0.0,0.0,19.4,0.0,0.8,hydro_ror,,
p243,n3317,0.0,0.0,25.0,0.0,0.8,hydro_ror,,
p244,n3324,0.0,0.0,12.6,0.0,0.8,hydro_ror,,
p245,n7745,0.0,0.0,12.6,0.0,0.8,hydro_ror,,
p246,n3500,0.0,0.0,12.1,0.0,0.8,hydro_ror,,
p247,n3501,0.0,0.0,10.9,0.0,0.8,hydro_ror,,
p248,n3501,0.0,0.0,18.9,0.0,0.8,hydro_ror,,
p249,n3848,0.0,0.0,46.7,0.0,0.8,hydro_ror,,
p250,n3848,0.0,0.0,30.0,0.0,0.8,hydro_ror,,
p251,n3304,0.0,0.0,35.1,0.0,0.8,hydro_ror,,
p252,n3490,0.0,0.0,45.5,0.0,0.8,hydro_ror,,
p253,n3304,0.0,0.0,38.2,0.0,0.8,hydro_ror,,
p254,n8046,0.0,0.0,12.0,0.0,0.8,hydro_ror,,
p255,n3500,0.0,0.0,12.2,0.0,0.8,hydro_ror,,
p256,n4788,0.0,0.0,24.0,0.0,0.8,hydro_ror,,
p257,n4516,0.0,0.0,79.8,0.0,0.8,hydro_ror,,
p258,n3500,0.0,0.0,12.4,0.0,0.8,hydro_ror,,
p259,n8046,0.0,0.0,10.5,0.0,0.8,hydro_ror,,
p260,n8046,0.0,0.0,16.6,0.0,0.8,hydro_ror,,
p261,n3304,0.0,0.0,25.0,0.0,0.8,hydro_ror,,
p262,n3320,0.0,0.0,23.2,0.0,0.8,hydro_ror,,
p263,n3308,0.0,0.0,11.2,0.0,0.8,hydro_ror,,
p264,n3324,0.0,0.0,21.5,0.0,0.8,hydro_ror,,
p265,n3489,0.0,0.0,12.3,0.0,0.8,hydro_ror,,
p266,n3303,0.0,0.0,18.0,0.0,0.8,hydro_ror,,
p267,n3318,0.0,0.0,85.3,0.0,0.8,hydro_ror,,
p268,n4510,0.0,0.0,3.3,0.0,0.8,hydro_ror,,
p269,n4510,0.0,0.0,1.8,0.0,0.8,hydro_ror,,
p270,n4510,0.0,0.0,28.0,0.0,0.8,hydro_ror,,
p271,n4510,0.0,0.0,99.0,0.0,0.75,hydro_psp,,990.0
p272,n4603,0.0,0.0,18.8,0.0,0.8,hydro_ror,,
p273,n3318,0.0,0.0,18.5,0.0,0.8,hydro_ror,,
p274,n3304,0.0,0.0,48.0,0.0,0.8,hydro_ror,,
p275,n3304,0.0,0.0,44.0,0.0,0.8,hydro_ror,,
p276,n3305,0.0,0.0,23.3,0.0,0.8,hydro_ror,,
p277,n7769,0.0,0.0,12.8,0.0,0.8,hydro_ror,,
p278,n3461,0.0,0.0,150.0,0.0,0.75,hydro_psp,,1500.0
p279,n3324,0.0,0.0,12.6,0.0,0.8,hydro_ror,,
p280,n3312,0.0,0.0,25.0,0.0,0.8,hydro_ror,,
p281,n3304,0.0,0.0,24.1,0.0,0.8,hydro_ror,,
p282,n3456,0.0,0.0,910.0,0.0,0.75,hydro_psp,,9100.0
p283,n4767,0.0,0.0,79.7,0.0,0.8,hydro_ror,,
p284,n4788,0.0,0.0,20.0,0.0,0.8,hydro_ror,,
p285,n3460,0.0,0.0,220.0,0.0,0.75,hydro_psp,,2200.0
p286,n4611,0.0,0.0,13.6,0.0,0.8,hydro_ror,,
p287,n4630,29.67317531920601,0.0,297.0,0.0,0.323199999999999,conventional,,
p288,n4630,29.377179466594107,0.0,299.0,0.0,0.3303999999999991,conventional,,
p289,n4630,29.09380902949645,0.0,648.0,0.0,0.3375999999999992,conventional,,
p290,n4630,29.09380902949645,0.0,628.0,245.0,0.3375999999999992,conventional,,
p291,n4630,26.93511618720584,0.0,632.0,0.0,0.4047999999999989,conventional,,
p292,n4630,30.196938331754037,0.0,125.0,0.0,0.3111999999999995,conventional,,
p293,n4630,30.196938331754037,0.0,125.0,0.0,0.3111999999999995,conventional,,
p294,n4630,29.982659590417946,0.0,295.0,0.0,0.3159999999999989,conventional,,
p295,n4630,29.4744008685902,0.0,295.0,0.0,0.3279999999999994,conventional,,
p296,n4630,28.2307412527905,0.0,15.0,0.0,0.3615999999999992,conventional,,
p297,n4630,27.40468751681751,0.0,10.0,0.0,0.387999999999999,conventional,,
p298,n4630,27.40468751681751,0.0,10.0,0.0,0.387999999999999,conventional,,
p299,n4544,28.477387709971037,0.0,164.0,1010.0,0.3543999999999991,conventional,,
p300,n4553,27.065254527126772,0.0,875.0,230.0,0.3999999999999994,conventional,,
p301,n4553,27.13150201203625,0.0,875.0,230.0,0.3975999999999988,conventional,,
p302,n4548,28.647462765113072,0.0,465.0,60.0,0.3495999999999988,conventional,,
p303,n4548,28.561845436217688,0.0,465.0,0.0,0.3519999999999994,conventional,,
p304,n4548,27.065254527126772,0.0,857.0,65.0,0.3999999999999994,conventional,,
p305,n4548,26.32812766145514,0.0,640.0,0.0,0.4287999999999989,conventional,,
p306,n4521,27.916763147816443,0.0,56.8,0.0,0.3711999999999991,conventional,,
p307,n4521,27.765786442020392,0.0,90.8,0.0,0.3759999999999994,conventional,,
p308,n4540,27.13150201203625,0.0,74.0,0.0,0.3975999999999988,conventional,,
p309,n4529,27.3351315763071,0.0,49.0,0.0,0.3903999999999996,conventional,,
p310,n4641,30.306575770650127,0.0,27.5,0.0,0.3087999999999988,conventional,,
p311,n4627,28.311858090601163,0.0,9.3,0.0,0.3591999999999995,conventional,,
p312,n4625,29.982659590417946,0.0,321.0,0.0,0.3159999999999989,conventional,,
p313,n4625,29.77479318049337,0.0,321.0,0.0,0.3207999999999993,conventional,,
p314,n4625,29.09380902949645,0.0,636.0,91.5,0.3375999999999992,conventional,,
p315,n4625,29.00201923300915,0.0,636.0,91.5,0.3399999999999989,conventional,,
p316,n8047,26.27114506516016,0.0,14.5,0.0,0.4311999999999996,conventional,,
p317,n4579,27.26642560655651,0.0,45.0,0.0,0.3927999999999993,conventional,,
p318,n7282,30.64595744489866,0.0,110.0,251.0,0.3015999999999996,conventional,,
p319,n4634,26.32812766145514,0.0,1060.0,0.0,0.4287999999999989,conventional,,
p320,n4634,26.32812766145514,0.0,1060.0,0.0,0.4287999999999989,conventional,,
p321,n4634,29.87794296933783,0.0,284.0,30.0,0.3183999999999996,conventional,,
p322,n4634,29.4744008685902,0.0,278.0,0.0,0.3279999999999994,conventional,,
p323,n4634,29.281360296357573,0.0,294.0,0.0,0.3327999999999989,conventional,,
p324,n4634,29.281360296357573,0.0,294.0,0.0,0.3327999999999989,conventional,,
p325,n4634,29.18691323834396,0.0,292.0,0.0,0.3351999999999995,conventional,,
p326,n4634,29.00201923300915,0.0,607.0,4.5,0.3399999999999989,conventional,,
p327,n4634,28.911516209369765,0.0,604.0,4.5,0.3423999999999996,conventional,,
p328,n4596,28.15069408756635,0.0,352.0,0.0,0.363999999999999,conventional,,
p329,n4779,27.54641319100986,0.0,40.0,0.0,0.3831999999999995,conventional,,
p330,n7282,27.69173444256019,0.0,55.0,0.0,0.3783999999999992,conventional,,
p331,n4626,26.808027964626778,0.0,24.6,0.0,0.4095999999999993,conventional,,
p332,n4742,27.916763147816443,0.0,33.5,0.0,0.3711999999999991,conventional,,
p333,n4651,26.444028112032434,0.0,75.3,0.0,0.4239999999999995,conventional,,
p334,n4502,27.54641319100986,0.0,20.3,0.0,0.3831999999999995,conventional,,
p335,n4540,28.477387709971037,0.0,465.0,76.3,0.3543999999999991,conventional,,
p336,n4540,28.39406618631962,0.0,465.0,76.3,0.3567999999999989,conventional,,
p337,n4540,28.2307412527905,0.0,465.0,76.3,0.3615999999999992,conventional,,
p338,n4540,28.15069408756635,0.0,465.0,76.3,0.363999999999999,conventional,,
p339,n4540,27.99372524296192,0.0,465.0,76.3,0.3687999999999993,conventional,,
p340,n4540,27.840789859032576,0.0,465.0,76.3,0.3735999999999988,conventional,,
p341,n4497,27.3351315763071,0.0,450.0,100.0,0.3903999999999996,conventional,,
p342,n4497,27.3351315763071,0.0,450.0,100.0,0.3903999999999996,conventional,,
p343,n4561,28.647462765113072,0.0,45.0,0.0,0.3495999999999988,conventional,,
p344,n4547,27.26642560655651,0.0,750.0,60.0,0.3927999999999993,conventional,,
p345,n4547,27.198554122268483,0.0,750.0,60.0,0.3951999999999991,conventional,,
p346,n7907,33.90681296868524,0.0,67.0,0.0,0.2463999999999995,conventional,,
p347,n4553,27.47510929891101,0.0,31.0,0.0,0.3855999999999993,conventional,,
p348,n7907,27.54641319100986,0.0,18.5,0.0,0.3831999999999995,conventional,,
p349,n8047,28.734263743716653,0.0,19.5,0.0,0.347199999999999,conventional,,
