index,timestep,plant,availability,availability_da
61,t0001,Hydro 43,0.0366898954703832,0.0366898954703832
62,t0001,Hydro 42,0.0252014647828797,0.0252014647828797
63,t0001,Hydro 41,0.0252014647828797,0.0252014647828797
64,t0001,Hydro 40,0.0200505519447023,0.0200505519447023
65,t0001,Hydro 35,0.2212,0.2212
66,t0001,Hydro 34,0.0053997788545384,0.0053997788545384
67,t0001,Hydro 33,0.0053997788545384,0.0053997788545384
68,t0001,Hydro 32,0.2212,0.2212
69,t0001,Hydro 31,0.2212,0.2212
70,t0001,Hydro 30,0.2212,0.2212
71,t0001,Wind 12,0.0084381731181635,0.13322388475088
72,t0001,Hydro 29,0.0,0.0
73,t0001,Hydro 27,0.0301151993297493,0.0301151993297493
74,t0001,Hydro 26,0.0301151993297493,0.0301151993297493
75,t0001,Hydro 25,0.0301151993297493,0.0301151993297493
76,t0001,Hydro 24,0.0,0.0
77,t0001,Hydro 23,0.0,0.0
78,t0001,Hydro 22,0.0010393068414798,0.0010393068414798
79,t0001,Hydro 21,0.0010393068414798,0.0010393068414798
80,t0001,Hydro 20,0.0010393068414798,0.0010393068414798
81,t0001,Hydro 19,0.0045378138301153,0.0045378138301153
82,t0001,Hydro 18,0.2211999999999999,0.2211999999999999
83,t0001,Hydro 17,0.2211999999999999,0.2211999999999999
84,t0001,Solar 25,0.0,0.0
85,t0001,Hydro 28,0.0,0.0
86,t0001,Wind 13,0.0287477303711252,0.1038971056412016
87,t0001,Hydro 16,0.2212,0.2212
88,t0001,Solar 23,0.0,0.0
89,t0001,Solar 22,0.0,0.0
90,t0001,Solar 21,0.0,0.0
91,t0001,Solar 20,0.0,0.0
92,t0001,Solar 01,0.0,0.0
93,t0001,Solar 19,0.0,0.0
94,t0001,Solar 18,0.0,0.0
95,t0001,Solar 17,0.0,0.0
96,t0001,Wind 14,0.0112500742897629,0.0201076644637405
97,t0001,Solar 15,0.0,0.0
98,t0001,Solar 14,0.0,0.0
99,t0001,Solar 13,0.0,0.0
100,t0001,Solar 12,0.0,0.0
101,t0001,Solar 11,0.0,0.0
102,t0001,Solar 16,0.0,0.0
103,t0001,Wind 09,0.7044021191169096,0.7035082103659277
104,t0001,Solar 10,0.0,0.0
105,t0001,Wind 15,0.1650537617959259,0.1501407350291086
106,t0001,Wind 16,0.0019900716156085,0.0137121145153391
107,t0001,Wind 17,0.0646822552819444,0.0681631381619311
108,t0001,Wind 02,0.0980072004366147,0.3882078702567052
109,t0001,Wind 01,0.0398378388436754,0.2300859763903487
110,t0001,Wind 04,0.153947919665779,0.1027017922952482
111,t0001,Wind 05,0.820105426130269,0.7356334133854735
112,t0001,Wind 06,0.036418098472074,0.1363060658959315
113,t0001,Wind 07,0.1170383565531427,0.2856502412905993
114,t0001,Wind 08,0.8341857659018312,0.7557734396698012
115,t0001,Wind 03,0.247726658224045,0.201532251569387
116,t0002,Solar 43,0.0,0.0
117,t0002,Solar 40,0.0,0.0
118,t0002,Solar 41,0.0,0.0
119,t0002,Solar 42,0.0,0.0
120,t0002,Solar 44,0.0,0.0
121,t0002,Solar 04,0.0,0.0
122,t0002,Solar 46,0.0,0.0
123,t0002,Solar 47,0.0,0.0
124,t0002,Solar 48,0.0,0.0
125,t0002,Solar 49,0.0,0.0
126,t0002,Solar 45,0.0,0.0
127,t0002,Solar 03,0.0,0.0
128,t0002,Solar 27,0.0,0.0
129,t0002,Solar 38,0.0,0.0
130,t0002,Solar 37,0.0,0.0
131,t0002,Solar 36,0.0,0.0
132,t0002,Solar 35,0.0,0.0
133,t0002,Solar 34,0.0,0.0
134,t0002,Solar 33,0.0,0.0
135,t0002,Solar 32,0.0,0.0
136,t0002,Solar 31,0.0,0.0
137,t0002,Solar 30,0.0,0.0
138,t0002,Solar 02,0.0,0.0
139,t0002,Solar 29,0.0,0.0
140,t0002,Solar 28,0.0,0.0
141,t0002,Solar 50,0.0,0.0
142,t0002,Solar 39,0.0,0.0
143,t0002,Solar 51,0.0,0.0
144,t0002,Solar 65,0.0,0.0
145,t0002,Solar 53,0.0,0.0
146,t0002,Solar 09,0.0,0.0
147,t0002,Solar 08,0.0,0.0
148,t0002,Solar 07,0.0,0.0
149,t0002,Solar 75,0.0,0.0
150,t0002,Solar 74,0.0,0.0
151,t0002,Solar 73,0.0,0.0
152,t0002,Solar 72,0.0,0.0
153,t0002,Solar 71,0.0,0.0
154,t0002,Solar 70,0.0,0.0
155,t0002,Solar 06,0.0,0.0
156,t0002,Solar 69,0.0,0.0
157,t0002,Solar 68,0.0,0.0
158,t0002,Solar 52,0.0,0.0
159,t0002,Solar 67,0.0,0.0
160,t0002,Solar 64,0.0,0.0
161,t0002,Solar 63,0.0,0.0
162,t0002,Solar 62,0.0,0.0
163,t0002,Solar 61,0.0,0.0
164,t0002,Solar 60,0.0,0.0
165,t0002,Solar 05,0.0,0.0
166,t0002,Solar 59,0.0,0.0
167,t0002,Solar 58,0.0,0.0
168,t0002,Solar 57,0.0,0.0
169,t0002,Solar 56,0.0,0.0
170,t0002,Solar 55,0.0,0.0
171,t0002,Solar 54,0.0,0.0
172,t0002,Solar 66,0.0,0.0
173,t0002,Solar 26,0.0,0.0
174,t0002,Wind 13,0.0694859787886996,0.112114715698478
175,t0002,Solar 24,0.0,0.0
176,t0002,Wind 10,0.824233691995042,0.7513787014916626
177,t0002,Hydro 43,0.0114845885821495,0.0114845885821495
178,t0002,Hydro 42,0.026662809058799,0.026662809058799
179,t0002,Hydro 41,0.026662809058799,0.026662809058799
180,t0002,Hydro 40,0.0062761786856494,0.0062761786856494
181,t0002,Hydro 35,0.2133,0.2133
182,t0002,Hydro 34,0.0032812053326621,0.0032812053326621
183,t0002,Hydro 33,0.0032812053326621,0.0032812053326621
184,t0002,Hydro 32,0.2133,0.2133
185,t0002,Hydro 31,0.2132999999999999,0.2132999999999999
186,t0002,Hydro 30,0.2132999999999999,0.2132999999999999
187,t0002,Hydro 29,0.0,0.0
188,t0002,Wind 11,0.5547092052567348,0.3994178216608879
189,t0002,Hydro 28,0.0,0.0
190,t0002,Hydro 26,0.029039656496544,0.029039656496544
191,t0002,Hydro 25,0.029039656496544,0.029039656496544
192,t0002,Hydro 24,0.0,0.0
193,t0002,Hydro 23,0.0,0.0
194,t0002,Hydro 22,0.0179397469213993,0.0179397469213993
195,t0002,Hydro 21,0.0179397469213993,0.0179397469213993
196,t0002,Hydro 20,0.0179397469213993,0.0179397469213993
197,t0002,Hydro 19,0.0044190672999814,0.0044190672999814
198,t0002,Hydro 18,0.2133,0.2133
199,t0002,Hydro 17,0.2133,0.2133
200,t0002,Hydro 16,0.2132999999999999,0.2132999999999999
201,t0002,Solar 25,0.0,0.0
202,t0002,Hydro 27,0.029039656496544,0.029039656496544
203,t0002,Wind 12,0.0312447437211693,0.1489232586965784
204,t0002,Wind 14,0.0160277227572936,0.0202658852814352
205,t0002,Solar 22,0.0,0.0
206,t0002,Solar 21,0.0,0.0
207,t0002,Solar 20,0.0,0.0
208,t0002,Solar 01,0.0,0.0
209,t0002,Solar 19,0.0,0.0
210,t0002,Solar 18,0.0,0.0
211,t0002,Solar 17,0.0,0.0
212,t0002,Solar 16,0.0,0.0
213,t0002,Solar 15,0.0,0.0
214,t0002,Solar 14,0.0,0.0
215,t0002,Solar 13,0.0,0.0
216,t0002,Solar 12,0.0,0.0
217,t0002,Solar 11,0.0,0.0
218,t0002,Solar 23,0.0,0.0
219,t0002,Wind 09,0.7808619897152048,0.7464867781984457
220,t0002,Solar 10,0.0,0.0
221,t0002,Wind 15,0.1644411492186551,0.1492886094871344
222,t0002,Wind 16,0.0003460510523011,0.010925303232262
223,t0002,Wind 17,0.039782156813519,0.0642206826359541
224,t0002,Wind 02,0.2129011722128076,0.4309440634480605
225,t0002,Wind 01,0.0783334382848204,0.2669893572118252
226,t0002,Wind 04,0.202655421218258,0.1335934782853154
227,t0002,Wind 05,0.8651116978553108,0.7796341995414118
228,t0002,Wind 06,0.0833549442953456,0.1523791519960161
229,t0002,Wind 07,0.2784367642179228,0.3221695596798246
230,t0002,Wind 08,0.8778350919468192,0.8010698728310963
231,t0002,Wind 03,0.303120437400785,0.23876174020559
232,t0003,Solar 43,0.0,0.0
233,t0003,Solar 40,0.0,0.0
234,t0003,Solar 41,0.0,0.0
235,t0003,Solar 42,0.0,0.0
236,t0003,Solar 44,0.0,0.0
237,t0003,Solar 04,0.0,0.0
238,t0003,Solar 46,0.0,0.0
239,t0003,Solar 47,0.0,0.0
240,t0003,Solar 48,0.0,0.0
241,t0003,Solar 49,0.0,0.0
242,t0003,Solar 03,0.0,0.0
243,t0003,Solar 45,0.0,0.0
244,t0003,Solar 39,0.0,0.0
245,t0003,Solar 33,0.0,0.0
246,t0003,Solar 37,0.0,0.0
247,t0003,Solar 36,0.0,0.0
248,t0003,Solar 35,0.0,0.0
249,t0003,Solar 34,0.0,0.0
250,t0003,Solar 32,0.0,0.0
251,t0003,Solar 31,0.0,0.0
252,t0003,Solar 30,0.0,0.0
253,t0003,Solar 02,0.0,0.0
254,t0003,Solar 29,0.0,0.0
255,t0003,Solar 28,0.0,0.0
256,t0003,Solar 27,0.0,0.0
257,t0003,Solar 50,0.0,0.0
258,t0003,Solar 38,0.0,0.0
259,t0003,Solar 52,0.0,0.0
260,t0003,Solar 65,0.0,0.0
261,t0003,Solar 54,0.0,0.0
262,t0003,Solar 09,0.0,0.0
263,t0003,Solar 08,0.0,0.0
264,t0003,Solar 07,0.0,0.0
265,t0003,Solar 75,0.0,0.0
266,t0003,Solar 74,0.0,0.0
267,t0003,Solar 73,0.0,0.0
268,t0003,Solar 72,0.0,0.0
269,t0003,Solar 71,0.0,0.0
270,t0003,Solar 70,0.0,0.0
271,t0003,Solar 06,0.0,0.0
272,t0003,Solar 69,0.0,0.0
273,t0003,Solar 68,0.0,0.0
274,t0003,Solar 53,0.0,0.0
275,t0003,Solar 67,0.0,0.0
276,t0003,Solar 26,0.0,0.0
277,t0003,Solar 64,0.0,0.0
278,t0003,Solar 63,0.0,0.0
279,t0003,Solar 62,0.0,0.0
280,t0003,Solar 61,0.0,0.0
281,t0003,Solar 60,0.0,0.0
282,t0003,Solar 05,0.0,0.0
283,t0003,Solar 59,0.0,0.0
284,t0003,Solar 58,0.0,0.0
285,t0003,Solar 57,0.0,0.0
286,t0003,Solar 56,0.0,0.0
287,t0003,Solar 55,0.0,0.0
288,t0003,Solar 66,0.0,0.0
289,t0003,Solar 25,0.0,0.0
290,t0003,Solar 51,0.0,0.0
291,t0003,Solar 23,0.0,0.0
292,t0003,Wind 11,0.5536619310331324,0.4317462303918403
293,t0003,Wind 10,0.7639697901763854,0.7868394565398674
294,t0003,Hydro 43,0.0016933797909407,0.0016933797909407
295,t0003,Hydro 42,0.0268959069187616,0.0268959069187616
296,t0003,Hydro 41,0.0268959069187616,0.0268959069187616
297,t0003,Hydro 40,0.0009254100897554,0.0009254100897554
298,t0003,Hydro 35,0.2142,0.2142
299,t0003,Hydro 34,0.0034706712573827,0.0034706712573827
300,t0003,Hydro 33,0.0034706712573827,0.0034706712573827
301,t0003,Hydro 32,0.2142,0.2142
302,t0003,Hydro 31,0.2142,0.2142
303,t0003,Hydro 30,0.2142,0.2142
304,t0003,Wind 12,0.0979057541257847,0.1577893912621825
305,t0003,Hydro 29,0.0,0.0
306,t0003,Hydro 27,0.0291621866927319,0.0291621866927319
307,t0003,Hydro 26,0.0291621866927319,0.0291621866927319
308,t0003,Hydro 25,0.0291621866927319,0.0291621866927319
309,t0003,Hydro 24,0.0,0.0
310,t0003,Hydro 23,0.0,0.0
311,t0003,Hydro 22,0.0099342753045953,0.0099342753045953
312,t0003,Hydro 21,0.0099342753045953,0.0099342753045953
313,t0003,Hydro 20,0.0099342753045953,0.0099342753045953
314,t0003,Hydro 19,0.0004665042255258,0.0004665042255258
315,t0003,Hydro 18,0.2141999999999999,0.2141999999999999
316,t0003,Hydro 17,0.2141999999999999,0.2141999999999999
317,t0003,Hydro 16,0.2142,0.2142
318,t0003,Hydro 28,0.0,0.0
319,t0003,Wind 13,0.0916644646188325,0.1178236418514199
320,t0003,Wind 14,0.0290643213445595,0.0205000972707272
321,t0003,Solar 22,0.0,0.0
322,t0003,Solar 21,0.0,0.0
323,t0003,Solar 20,0.0,0.0
324,t0003,Solar 01,0.0,0.0
325,t0003,Solar 19,0.0,0.0
326,t0003,Solar 18,0.0,0.0
327,t0003,Solar 17,0.0,0.0
328,t0003,Solar 24,0.0,0.0
329,t0003,Solar 15,0.0,0.0
330,t0003,Solar 14,0.0,0.0
331,t0003,Solar 13,0.0,0.0
332,t0003,Solar 12,0.0,0.0
333,t0003,Solar 11,0.0,0.0
334,t0003,Solar 16,0.0,0.0
335,t0003,Wind 09,0.6872018325233794,0.7809925473398794
336,t0003,Solar 10,0.0,0.0
337,t0003,Wind 15,0.166769899049921,0.1485099141442928
338,t0003,Wind 16,0.0,0.009986615017583
339,t0003,Wind 17,0.0214394544095655,0.0603140981439706
340,t0003,Wind 02,0.3509367547900394,0.4725079398522395
341,t0003,Wind 01,0.2097790603077878,0.29776703174052
342,t0003,Wind 04,0.1013839326876418,0.1603370438269456
343,t0003,Wind 05,0.8226721667984627,0.814921265538988
344,t0003,Wind 06,0.1159563134139858,0.1617548790255547
345,t0003,Wind 07,0.3729820232012343,0.354485209175203
346,t0003,Wind 08,0.8239732631193373,0.8374345331036926
347,t0003,Wind 03,0.308938010796339,0.269346607154174
348,t0004,Solar 43,0.0,0.0
349,t0004,Solar 40,0.0,0.0
350,t0004,Solar 41,0.0,0.0
351,t0004,Solar 42,0.0,0.0
352,t0004,Solar 44,0.0,0.0
353,t0004,Solar 04,0.0,0.0
354,t0004,Solar 46,0.0,0.0
355,t0004,Solar 47,0.0,0.0
356,t0004,Solar 48,0.0,0.0
357,t0004,Solar 49,0.0,0.0
358,t0004,Solar 45,0.0,0.0
359,t0004,Solar 03,0.0,0.0
360,t0004,Solar 27,0.0,0.0
361,t0004,Solar 38,0.0,0.0
362,t0004,Solar 37,0.0,0.0
363,t0004,Solar 36,0.0,0.0
364,t0004,Solar 35,0.0,0.0
365,t0004,Solar 34,0.0,0.0
366,t0004,Solar 33,0.0,0.0
367,t0004,Solar 32,0.0,0.0
368,t0004,Solar 31,0.0,0.0
369,t0004,Solar 30,0.0,0.0
370,t0004,Solar 02,0.0,0.0
371,t0004,Solar 29,0.0,0.0
372,t0004,Solar 28,0.0,0.0
373,t0004,Solar 50,0.0,0.0
374,t0004,Solar 39,0.0,0.0
375,t0004,Solar 51,0.0,0.0
376,t0004,Solar 64,0.0,0.0
377,t0004,Solar 53,0.0,0.0
378,t0004,Solar 26,0.0,0.0
379,t0004,Solar 08,0.0,0.0
380,t0004,Solar 07,0.0,0.0
381,t0004,Solar 75,0.0,0.0
382,t0004,Solar 74,0.0,0.0
383,t0004,Solar 73,0.0,0.0
384,t0004,Solar 72,0.0,0.0
385,t0004,Solar 71,0.0,0.0
386,t0004,Solar 70,0.0,0.0
387,t0004,Solar 06,0.0,0.0
388,t0004,Solar 69,0.0,0.0
389,t0004,Solar 68,0.0,0.0
390,t0004,Solar 52,0.0,0.0
391,t0004,Solar 67,0.0,0.0
392,t0004,Solar 65,0.0,0.0
393,t0004,Solar 63,0.0,0.0
394,t0004,Solar 62,0.0,0.0
395,t0004,Solar 61,0.0,0.0
396,t0004,Solar 60,0.0,0.0
397,t0004,Solar 05,0.0,0.0
398,t0004,Solar 59,0.0,0.0
399,t0004,Solar 58,0.0,0.0
400,t0004,Solar 57,0.0,0.0
401,t0004,Solar 56,0.0,0.0
402,t0004,Solar 55,0.0,0.0
403,t0004,Solar 54,0.0,0.0
404,t0004,Solar 66,0.0,0.0
405,t0004,Solar 25,0.0,0.0
406,t0004,Solar 09,0.0,0.0
407,t0004,Solar 23,0.0,0.0
408,t0004,Wind 10,0.8617942029107529,0.8153035859526625
409,t0004,Hydro 43,0.002019029750737,0.002019029750737
410,t0004,Hydro 42,0.0271110741741117,0.0271110741741117
411,t0004,Hydro 41,0.0271110741741117,0.0271110741741117
412,t0004,Hydro 40,0.0011033735685546,0.0011033735685546
413,t0004,Hydro 35,0.216,0.216
414,t0004,Hydro 34,0.003565404219743,0.003565404219743
415,t0004,Hydro 33,0.003565404219743,0.003565404219743
416,t0004,Hydro 32,0.216,0.216
417,t0004,Hydro 31,0.216,0.216
418,t0004,Hydro 30,0.216,0.216
419,t0004,Hydro 29,0.0,0.0
420,t0004,Wind 11,0.584048502462415,0.4587063714642265
421,t0004,Hydro 28,0.0,0.0
422,t0004,Hydro 26,0.0294072470851078,0.0294072470851078
423,t0004,Hydro 25,0.0294072470851078,0.0294072470851078
424,t0004,Hydro 24,0.0,0.0
425,t0004,Hydro 23,0.0,0.0
426,t0004,Hydro 22,0.009737649685937,0.009737649685937
427,t0004,Hydro 21,0.009737649685937,0.009737649685937
428,t0004,Hydro 20,0.009737649685937,0.009737649685937
429,t0004,Hydro 19,0.0004665042255258,0.0004665042255258
430,t0004,Hydro 18,0.2159999999999999,0.2159999999999999
431,t0004,Hydro 17,0.216,0.216
432,t0004,Hydro 16,0.216,0.216
433,t0004,Hydro 27,0.0294072470851078,0.0294072470851078
434,t0004,Wind 12,0.5500287543771333,0.1626765398696615
435,t0004,Solar 24,0.0,0.0
436,t0004,Wind 14,0.0663965754249197,0.0206089160294262
437,t0004,Solar 22,0.0,0.0
438,t0004,Solar 21,0.0,0.0
439,t0004,Solar 20,0.0,0.0
440,t0004,Solar 01,0.0,0.0
441,t0004,Solar 19,0.0,0.0
442,t0004,Solar 18,0.0,0.0
443,t0004,Solar 17,0.0,0.0
444,t0004,Wind 13,0.4535549886832538,0.1242151799334293
445,t0004,Solar 15,0.0,0.0
446,t0004,Solar 14,0.0,0.0
447,t0004,Solar 13,0.0,0.0
448,t0004,Solar 12,0.0,0.0
449,t0004,Solar 11,0.0,0.0
450,t0004,Solar 16,0.0,0.0
451,t0004,Wind 09,0.8184227135421385,0.8088922232452891
452,t0004,Solar 10,0.0,0.0
453,t0004,Wind 15,0.1874724052340396,0.147048518203641
454,t0004,Wind 16,0.0109398715315732,0.0092898775476614
455,t0004,Wind 17,0.0196712797243279,0.057146489811636
456,t0004,Wind 02,0.6276461724087579,0.5100861325780264
457,t0004,Wind 01,0.4643616980976104,0.3150458817431461
458,t0004,Wind 04,0.0735549681484676,0.1880148709027266
459,t0004,Wind 05,0.8899050372544909,0.8422495972839736
460,t0004,Wind 06,0.4008114415483149,0.1702164398729664
461,t0004,Wind 07,0.5448848395076054,0.3752601084901776
462,t0004,Wind 08,0.9163006365202168,0.8659932136535602
463,t0004,Wind 03,0.248611479762689,0.298402456638137
464,t0005,Solar 43,0.0,0.0
465,t0005,Solar 40,0.0,0.0
466,t0005,Solar 41,0.0,0.0
467,t0005,Solar 42,0.0,0.0
468,t0005,Solar 44,0.0,0.0
469,t0005,Solar 04,0.0,0.0
470,t0005,Solar 46,0.0,0.0
471,t0005,Solar 47,0.0,0.0
472,t0005,Solar 48,0.0,0.0
473,t0005,Solar 49,0.0,0.0
474,t0005,Solar 45,0.0,0.0
475,t0005,Solar 03,0.0,0.0
476,t0005,Solar 27,0.0,0.0
477,t0005,Solar 38,0.0,0.0
478,t0005,Solar 37,0.0,0.0
479,t0005,Solar 36,0.0,0.0
480,t0005,Solar 35,0.0,0.0
481,t0005,Solar 34,0.0,0.0
482,t0005,Solar 33,0.0,0.0
483,t0005,Solar 32,0.0,0.0
484,t0005,Solar 31,0.0,0.0
485,t0005,Solar 30,0.0,0.0
486,t0005,Solar 02,0.0,0.0
487,t0005,Solar 29,0.0,0.0
488,t0005,Solar 28,0.0,0.0
489,t0005,Solar 50,0.0,0.0
490,t0005,Solar 39,0.0,0.0
491,t0005,Solar 51,0.0,0.0
492,t0005,Solar 64,0.0,0.0
493,t0005,Solar 53,0.0,0.0
494,t0005,Solar 26,0.0,0.0
495,t0005,Solar 08,0.0,0.0
496,t0005,Solar 07,0.0,0.0
497,t0005,Solar 75,0.0,0.0
498,t0005,Solar 74,0.0,0.0
499,t0005,Solar 73,0.0,0.0
500,t0005,Solar 72,0.0,0.0
501,t0005,Solar 71,0.0,0.0
502,t0005,Solar 70,0.0,0.0
503,t0005,Solar 06,0.0,0.0
504,t0005,Solar 69,0.0,0.0
505,t0005,Solar 68,0.0,0.0
506,t0005,Solar 52,0.0,0.0
507,t0005,Solar 67,0.0,0.0
508,t0005,Solar 65,0.0,0.0
509,t0005,Solar 63,0.0,0.0
510,t0005,Solar 62,0.0,0.0
511,t0005,Solar 61,0.0,0.0
512,t0005,Solar 60,0.0,0.0
513,t0005,Solar 05,0.0,0.0
514,t0005,Solar 59,0.0,0.0
515,t0005,Solar 58,0.0,0.0
516,t0005,Solar 57,0.0,0.0
517,t0005,Solar 56,0.0,0.0
518,t0005,Solar 55,0.0,0.0
519,t0005,Solar 54,0.0,0.0
520,t0005,Solar 66,0.0,0.0
521,t0005,Solar 09,0.0,0.0
522,t0005,Solar 25,0.0,0.0
523,t0005,Solar 23,0.0,0.0
524,t0005,Wind 10,0.757172397413771,0.8369633782476203
525,t0005,Hydro 43,0.0019973197534173,0.0019973197534173
526,t0005,Hydro 42,0.0269407334302929,0.0269407334302929
527,t0005,Hydro 41,0.0269407334302929,0.0269407334302929
528,t0005,Hydro 40,0.0010915093366346,0.0010915093366346
529,t0005,Hydro 35,0.2162,0.2162
530,t0005,Hydro 34,0.003565404219743,0.003565404219743
531,t0005,Hydro 33,0.003565404219743,0.003565404219743
532,t0005,Hydro 32,0.2162,0.2162
533,t0005,Hydro 31,0.2162,0.2162
534,t0005,Hydro 30,0.2162,0.2162
535,t0005,Hydro 28,0.0,0.0
536,t0005,Wind 11,0.5849911486437337,0.4823938917366258
537,t0005,Hydro 27,0.029434476017594,0.029434476017594
538,t0005,Hydro 25,0.029434476017594,0.029434476017594
539,t0005,Hydro 24,0.0,0.0
540,t0005,Hydro 23,0.0,0.0
541,t0005,Hydro 22,0.0096908340624469,0.0096908340624469
542,t0005,Hydro 21,0.0096908340624469,0.0096908340624469
543,t0005,Hydro 20,0.0096908340624469,0.0096908340624469
544,t0005,Hydro 19,0.0004665042255258,0.0004665042255258
545,t0005,Hydro 18,0.2162,0.2162
546,t0005,Hydro 17,0.2162,0.2162
547,t0005,Hydro 16,0.2162,0.2162
548,t0005,Solar 24,0.0,0.0
549,t0005,Hydro 26,0.029434476017594,0.029434476017594
550,t0005,Wind 12,0.5321112258961066,0.1660480958248656
551,t0005,Hydro 29,0.0,0.0
552,t0005,Wind 14,0.0631788317229412,0.0201565764945022
553,t0005,Wind 13,0.5077442560326235,0.1303143973775126
554,t0005,Solar 21,0.0,0.0
555,t0005,Solar 20,0.0,0.0
556,t0005,Solar 01,0.0,0.0
557,t0005,Solar 19,0.0,0.0
558,t0005,Solar 18,0.0,0.0
559,t0005,Solar 17,0.0,0.0
560,t0005,Solar 16,0.0,0.0
561,t0005,Solar 15,0.0,0.0
562,t0005,Solar 14,0.0,0.0
563,t0005,Solar 13,0.0,0.0
564,t0005,Solar 12,0.0,0.0
565,t0005,Solar 11,0.0,0.0
566,t0005,Solar 22,0.0,0.0
567,t0005,Wind 09,0.7113015794633734,0.8304432349795361
568,t0005,Solar 10,0.0,0.0
569,t0005,Wind 16,0.0232142471155142,0.0090475984440299
570,t0005,Wind 17,0.0054540566002189,0.058832716323886
571,t0005,Wind 01,0.5092570609717617,0.3256336019553739
572,t0005,Wind 02,0.6305950412987421,0.5437663808631158
573,t0005,Wind 03,0.262941765180637,0.33366661146083
574,t0005,Wind 15,0.1655154830770538,0.146872927977201
575,t0005,Wind 05,0.8239504234470209,0.8620439944684936
576,t0005,Wind 06,0.4554151664406141,0.1775276375414008
577,t0005,Wind 07,0.5622956383247434,0.3899552714734066
578,t0005,Wind 08,0.8523919138333131,0.8877742051795662
579,t0005,Wind 04,0.0698130940272283,0.223526120143324
580,t0006,Solar 41,0.0,0.0
581,t0006,Solar 42,0.0,0.0
582,t0006,Solar 43,0.0,0.0
583,t0006,Solar 50,0.0,0.0
584,t0006,Solar 44,0.0,0.0
585,t0006,Solar 47,0.0,0.0
586,t0006,Solar 46,0.0,0.0
587,t0006,Solar 48,0.0,0.0
588,t0006,Solar 49,0.0,0.0
589,t0006,Solar 04,0.0,0.0
590,t0006,Solar 40,0.0,0.0
591,t0006,Solar 45,0.0,0.0
592,t0006,Solar 03,0.0,0.0
593,t0006,Solar 34,0.0,0.0
594,t0006,Solar 38,0.0,0.0
595,t0006,Solar 37,0.0,0.0
596,t0006,Solar 36,0.0,0.0
597,t0006,Solar 35,0.0,0.0
598,t0006,Solar 33,0.0,0.0
599,t0006,Solar 32,0.0,0.0
600,t0006,Solar 31,0.0,0.0
601,t0006,Solar 30,0.0,0.0
602,t0006,Solar 02,0.0,0.0
603,t0006,Solar 29,0.0,0.0
604,t0006,Solar 28,0.0,0.0
605,t0006,Solar 51,0.0,0.0
606,t0006,Solar 39,0.0,0.0
607,t0006,Solar 52,0.0,0.0
608,t0006,Solar 27,0.0,0.0
609,t0006,Solar 54,0.0,0.0
610,t0006,Solar 09,0.0,0.0
611,t0006,Solar 08,0.0,0.0
612,t0006,Solar 07,0.0,0.0
613,t0006,Solar 75,0.0,0.0
